Wall time,Step,Value
1618912029.4676955,1,0.63517165184021
1618912032.2303283,2,0.7436422109603882
1618912034.825303,3,0.6997309327125549
1618912037.5411568,4,0.8485348224639893
1618912040.1834526,5,0.7692191004753113
1618912042.9297957,6,0.8494991660118103
1618912045.658377,7,0.8338053226470947
1618912048.3324497,8,0.8441277742385864
1618912051.0812008,9,0.8722277283668518
1618912053.7512066,10,0.8602221012115479
1618912056.431684,11,0.8721185922622681
1618912059.1453607,12,0.8835474252700806
1618912061.866478,13,0.8883880972862244
1618912064.6155722,14,0.8889772891998291
1618912067.3076134,15,0.8926609754562378
1618912069.988219,16,0.8930402994155884
1618912072.7471738,17,0.8992160558700562
1618912075.3900354,18,0.8982539176940918
1618912078.1376834,19,0.894454836845398
1618912080.8700607,20,0.8950767517089844
1618912083.5208464,21,0.8994590044021606
1618912086.1947393,22,0.8939066529273987
1618912088.8677185,23,0.8730874061584473
1618912091.5268388,24,0.895959734916687
1618912094.1851847,25,0.8929609060287476
1618912096.6408215,26,0.9009841084480286
1618912099.0933757,27,0.9045467972755432
1618912101.5405602,28,0.9074536561965942
1618912103.98148,29,0.903535783290863
1618912106.412795,30,0.8930202722549438
1618912108.8425128,31,0.8996701836585999
1618912111.2601156,32,0.9049531817436218
1618912113.6743581,33,0.9041883945465088
1618912116.1844866,34,0.906110405921936
1618912118.687387,35,0.9062933325767517
1618912121.128971,36,0.9075236916542053
1618912123.5657823,37,0.910601019859314
1618912126.060228,38,0.8990892171859741
1618912128.5004027,39,0.892213761806488
1618912130.9503205,40,0.8912392258644104
1618912133.3915246,41,0.9123679995536804
1618912135.8206508,42,0.9123109579086304
1618912138.2525935,43,0.9115802645683289
1618912140.7837675,44,0.9106354713439941
1618912143.4892557,45,0.9110875725746155
1618912146.1878302,46,0.9078842997550964
1618912148.8792868,47,0.9102145433425903
1618912151.5872383,48,0.9162012338638306
1618912154.2892313,49,0.9130218029022217
1618912156.9909241,50,0.906367838382721
1618912159.6819386,51,0.911199152469635
1618912162.373019,52,0.9102033972740173
1618912164.871687,53,0.9168314933776855
1618912167.3588107,54,0.9128397703170776
1618912169.797063,55,0.9101158976554871
1618912172.3054857,56,0.9096001982688904
1618912174.7455916,57,0.9158523678779602
1618912177.1930428,58,0.9130577445030212
1618912179.6326652,59,0.9150400161743164
1618912182.0860212,60,0.9202693700790405
1618912184.5203803,61,0.9155867695808411
1618912186.9563859,62,0.9111295342445374
1618912189.4559715,63,0.9148721098899841
1618912191.8901129,64,0.9113175272941589
1618912194.3279166,65,0.9160308241844177
1618912196.7652328,66,0.915745735168457
1618912199.204805,67,0.9171158075332642
1618912201.6540911,68,0.9183503985404968
1618912204.0963435,69,0.9140110611915588
1618912206.5389,70,0.915616512298584
1618912208.982576,71,0.9158402681350708
1618912211.4284165,72,0.9198768138885498
1618912213.8633456,73,0.920168399810791
1618912216.2925906,74,0.9185054898262024
1618912218.7453082,75,0.9176572561264038
1618912221.1788185,76,0.9220241904258728
1618912223.64894,77,0.9225168228149414
1618912226.0716832,78,0.9220108389854431
1618912228.5326262,79,0.920475423336029
1618912230.9720576,80,0.9220530986785889
1618912233.4167976,81,0.9227083325386047
1618912235.8811092,82,0.9218493700027466
1618912238.330328,83,0.9213687181472778
1618912240.7896862,84,0.9257535338401794
1618912243.2487552,85,0.9162296652793884
1618912245.6960223,86,0.9224414229393005
1618912248.1417408,87,0.9243224263191223
1618912250.647443,88,0.916978120803833
1618912253.1140263,89,0.9183774590492249
1618912255.5636039,90,0.9195549488067627
1618912258.0087001,91,0.9186580777168274
1618912260.4499114,92,0.9186656475067139
1618912262.9028084,93,0.9227139353752136
1618912265.377251,94,0.9251604676246643
1618912267.8352675,95,0.9241802096366882
1618912270.287836,96,0.9206712245941162
1618912272.7315233,97,0.9209142923355103
1618912275.1952739,98,0.9211503267288208
1618912277.643059,99,0.9260349273681641
1618912280.0691557,100,0.9243901968002319
